norm_id;stofnaam;casnummer;aquocode;categorie;compartiment;norm;waarde;eenheid;compartimentcode;compartimentomschrijving;grootheidcode;grootheidomschrijving;hoedanigheidcode;hoedanigheidomschrijving;waardebewerkingsmethodecode;waardebewerkingsmethodeomschrijving
10016;loodverbindingen (ZZS);;;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren wettelijk MAC-MKN (opgelost);14;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);MAX;Maximum
10097;methylmethacrylaat;80-62-6;C1ymtclt;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren Indicatief MTR (opgelost);239;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);P90;90-Percentiel
10127;natrium;7440-23-5;Na;Milieu;Oppervlaktewater voor drinkwaterbereiding;Oppervlaktewater voor drinkwaterbereiding (gericht op waterbeheerder);120;mg/l;;;;;;;;
10128;natrium;7440-23-5;Na;Milieu;Oppervlaktewater voor drinkwaterbereiding;Oppervlaktewater voor drinkwaterbereiding (gericht tot het drinkwaterbedrijf);120;mg/l;;;;;;;;
10139;n-hepteen;25339-56-4;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren Indicatief JG-MKN (opgelost);0,90;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);JGM;Jaargemiddelde
10140;n-hepteen;25339-56-4;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren Indicatief JG-MKN (totaal);0,90;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;JGM;Jaargemiddelde
10141;n-hepteen;25339-56-4;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren Indicatief MAC-MKN (opgelost);9,0;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);MAX;Maximum
10142;n-hepteen;25339-56-4;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren Indicatief MAC-MKN (totaal);9,0;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;MAX;Maximum
10143;n-hepteen;25339-56-4;;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren Indicatief JG-MKN (opgelost);90;ng/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);JGM;Jaargemiddelde
10144;n-hepteen;25339-56-4;;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren Indicatief JG-MKN (totaal);90;ng/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;JGM;Jaargemiddelde
